"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"Woodson Terrace","MO","Harold","9136","63134","55","0","Full, Partially Finished, Rec/Family Area","2.00","73","St Louis","Attic Fan, Ceiling Fan, Central-Electric","73","Conventional","0","Gas","GSTL","79900.00","","Private","75000.00","3/30/2012 12:00:00 AM","75000.00","Cash, Conventional, FHA, VA","Sold","3/30/2012 2:50:08 PM","2.00","12/13/2011 12:00:00 AM"
"Woodson Terrace","MO","Guthrie","9715","63134","53","0","Slab","2.00","54","St Louis","Central-Electric, Central-Gas","54","Conventional","0","Gas","GSTL","82900.00","","Private","76900.00","10/21/2011 12:00:00 AM","76900.00","Cash, Conventional, FHA, Lease Purchase","Sold","10/26/2011 12:00:00 AM","3.00","7/19/2011 12:00:00 AM"
"St John","MO","Hilleman","3647","63114","58","0","Space/Crawl or Other, Full, Poured Concrete","2.00","65","St Louis","Central-Electric","65","Other","0","Gas","GSTL","79900.00","","Private","79000.00","9/1/2011 12:00:00 AM","79000.00","Cash, FHA, Seller May Pay SmCls, VA","Sold","9/2/2011 12:00:00 AM","3.00","4/19/2011 12:00:00 AM"
"St Louis","MO","Ardelia","8581","63114","57","0","Bathroom in LL, Full, Partially Finished, Rec/Family Area","3.00","16","St Louis","Central-Electric","16","FHA","0","Gas","GSTL","79900.00","","Private","79900.00","6/30/2011 12:00:00 AM","79900.00","Cash, Conventional, FHA","Sold","7/1/2011 12:00:00 AM","4.00","5/12/2011 12:00:00 AM"
"St John","MO","North","8674","63114","69","0","Concrete Block, Partially Finished","1.00","269","St Louis","Central-Electric","93","Conventional","1","Gas","GSTL","89900.00","","Private","84000.00","6/15/2012 12:00:00 AM","84000.00","Cash, Conventional, FHA","Sold","6/16/2012 7:42:15 AM","2.00","1/1/2012 12:00:00 AM"
"St Louis","MO","Belcrest","8615","63114","59","0","Full, Lookout, Partially Finished, Poured Concrete, Rec/Family Area, Sleeping Area, Walk-Out","2.00","51","St Louis","Central-Electric","51","FHA","0","Gas","GSTL","85900.00","","Private","85800.00","5/25/2012 12:00:00 AM","85800.00","FHA, Seller May Pay SmCls, VA","Sold","5/25/2012 1:02:55 PM","5.00","3/3/2012 12:00:00 AM"
"St Ann","MO","Geraldine","3910","63074","85","","Space/Crawl or Other, Partial","2.00","37","St Louis","Ceiling Fan, Central-Electric","37","Conventional","3","Gas","GSTL","99900.00","","Private","87000.00","4/23/2012 12:00:00 AM","87000.00","Cash, Conventional, FHA","Sold","4/24/2012 10:39:45 AM","3.00","3/1/2012 12:00:00 AM"
"Edmundson","MO","Mortimer","10554","63134","69","","Full, Partially Finished, Rec/Family Area","1.00","28","St Louis","Ceiling Fan, Central-Electric","28","FHA","1","Gas","GSTL","88000.00","","Private","88000.00","4/16/2012 12:00:00 AM","88000.00","Cash, Conventional, FHA, Government, Lease Purchase, VA","Sold","4/16/2012 2:22:12 PM","2.00","1/28/2012 12:00:00 AM"
"St John","MO","Havenbrook","3473","63114","63","0","Sump Pit/Pump","2.00","135","St Louis","Central-Electric","52","FHA","1","Gas","GSTL","89900.00","","Private","88500.00","2/27/2012 12:00:00 AM","88500.00","Cash, Conventional, FHA, VA","Sold","2/27/2012 5:32:01 PM","4.00","1/6/2012 12:00:00 AM"
"St Louis","MO","Lindscott","3426","63114","71","0","Full, Partially Finished, Walk-Out","2.00","13","St Louis","Ceiling Fan, Central-Electric","13","Private","1","Gas","GSTL","94900.00","","Private","94900.00","8/12/2011 12:00:00 AM","94900.00","Cash, Conventional, FHA, Lease Option, Lease Purchase, Owner May Finance, Private, Seller Assist, Seller May Pay SmCls, VA","Sold","8/17/2011 12:00:00 AM","2.00","7/16/2011 12:00:00 AM"
"St John","MO","Boswell","3525","63114","62","0","Partially Finished","2.00","110","St Louis","Central-Electric","110","Conventional","1","Gas","GSTL","99000.00","","Private","95000.00","8/8/2011 12:00:00 AM","95000.00","Cash, Conventional, FHA","Sold","8/8/2011 12:00:00 AM","3.00","4/14/2011 12:00:00 AM"
"St John","MO","Patrice","3624","63114","70","0","Bathroom in LL, Full, Partially Finished, Rec/Family Area, Sleeping Area","2.00","103","St Louis","Ceiling Fan, Central-Electric","103","Cash","0","Gas","GSTL","100000.00","","Private","98000.00","8/29/2011 12:00:00 AM","98000.00","Cash, Conventional, FHA, VA","Sold","8/29/2011 12:00:00 AM","4.00","3/24/2011 12:00:00 AM"
"Woodson Terrace","MO","Vance","4447","63134","59","0","Bathroom in LL, Partially Finished, Rec/Family Area, Sleeping Area","2.00","32","St Louis","Central-Electric","32","FHA","1","Gas","GSTL","102900.00","","Private","102900.00","7/25/2011 12:00:00 AM","102900.00","Cash, Conventional, FHA, Government, VA","Sold","7/30/2011 12:00:00 AM","4.00","6/9/2011 12:00:00 AM"
"St John","MO","Eminence","3415","63114","31","0","Bathroom in LL, Full, Partially Finished, Poured Concrete, Rec/Family Area","2.00","56","St Louis","Attic Fan, Central-Electric","56","FHA","1","Gas","GSTL","105900.00","","Private","105900.00","7/6/2011 12:00:00 AM","105900.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","7/10/2011 12:00:00 AM","3.00","3/23/2011 12:00:00 AM"
"St John","MO","Belcrest","8611","63114","58","0","Bathroom in LL, Full, Partially Finished, Rec/Family Area, Walk-Out","2.00","154","St Louis","Central-Electric","154","Conventional","1","Gas","GSTL","114900.00","","Private","110000.00","8/17/2011 12:00:00 AM","110000.00","Cash, Conventional, FHA, Government, VA","Sold","8/17/2011 12:00:00 AM","4.00","3/14/2011 12:00:00 AM"
"St John","MO","Moran","8641","63114","101","0","Full, Walk-Out","2.00","91","St Louis","Central-Electric","58","FHA","0","Gas","GSTL","110000.00","","Private","110000.00","11/10/2011 12:00:00 AM","110000.00","Cash, Conventional, FHA, VA","Sold","11/14/2011 12:00:00 AM","4.00","9/2/2011 12:00:00 AM"
