"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"St Louis","MO","Childress","3241","63139","83","0","Full","1.00","118","St Louis City","Central-Electric","118","Conventional","0","Gas","GSTL","83444.00","","Private","81400.00","3/26/2012 12:00:00 AM","81400.00","Cash, Conventional, FHA","Sold","3/28/2012 12:04:55 PM","2.00","10/28/2011 12:00:00 AM"
"St Louis","MO","Fyler","6057","63139","55","","Full","1.00","9","St Louis City","Central-Electric","9","Cash","2","Gas","GSTL","68400.00","","Bank","82120.00","5/14/2012 12:00:00 AM","82120.00","Cash, Conventional","Sold","5/16/2012 2:03:46 PM","2.00","4/9/2012 12:00:00 AM"
"St Louis","MO","Hi View","6988","63109","64","0","Full","1.00","80","St Louis City","Central-Electric","80","Conventional","1","Gas","GSTL","99900.00","","Bank","83000.00","1/27/2012 12:00:00 AM","83000.00","Cash, Conventional","Sold","1/31/2012 2:31:36 PM","2.00","11/12/2011 12:00:00 AM"
"St Louis","MO","Oleatha","6446","63139","85","0","Cellar, Full, Walk-Out","1.00","68","St Louis City","Central-Electric","68","Cash","1","Gas","GSTL","98900.00","","Private","83900.00","1/5/2012 12:00:00 AM","83900.00","Cash, Conventional, FHA","Sold","1/6/2012 12:00:00 AM","1.00","10/5/2011 12:00:00 AM"
"St Louis","MO","Lansdowne","6931","63109","80","0","Full","1.00","77","St Louis City","Central-Electric","77","FHA","0","Gas","GSTL","94900.00","","Private","87650.00","8/17/2011 12:00:00 AM","87650.00","Cash, Conventional, FHA, VA","Sold","8/21/2011 12:00:00 AM","2.00","5/31/2011 12:00:00 AM"
"St Louis","MO","Marquette","6422","63139","87","","Partially Finished, Rec/Family Area, Sleeping Area, Walk-Out","1.00","77","St Louis City","1 Window/Wall, Ceiling Fan, Central-Electric","77","Conventional","0","Gas","GSTL","100000.00","","Private","96500.00","6/29/2012 12:00:00 AM","96500.00","Cash, Conventional, FHA, VA","Sold","7/2/2012 8:27:43 AM","2.00","4/6/2012 12:00:00 AM"
"St Louis","MO","Wenzlick","3915","63109","60","0","None, Slab","1.00","46","St Louis City","Central-Electric","46","VA","1","Gas","GSTL","110000.00","","Private","98000.00","6/28/2012 12:00:00 AM","98000.00","Cash, Conventional, FHA, VA","Sold","7/2/2012 11:21:29 AM","3.00","4/9/2012 12:00:00 AM"
"St Louis","MO","Scanlan","6553","63139","88","0","Full, Partially Finished, Sleeping Area, Stone/Rock, Walk-Out","1.00","180","St Louis City","Attic Fan, Ceiling Fan, Central-Electric","180","Conventional","2","Electric","GSTL","114500.00","","Private","100000.00","3/30/2012 12:00:00 AM","100000.00","Cash, Conventional","Sold","4/4/2012 10:26:47 AM","2.00","9/9/2011 12:00:00 AM"
"St Louis","MO","Lansdowne","6943","63109","72","0","Full, Partially Finished, Sleeping Area, Walk-Out","1.00","6","St Louis City","Central-Electric","6","Fixed","0","Gas","GSTL","99900.00","","Private","105000.00","4/19/2012 12:00:00 AM","105000.00","Cash, Conventional, FHA, VA","Sold","4/20/2012 9:23:20 AM","2.00","2/20/2012 12:00:00 AM"
"St Louis","MO","Watson","3145","63139","80","0","Full, Walk-Out","1.00","79","St Louis City","Ceiling Fan, Central-Electric","79","FHA","0","Gas","GSTL","119900.00","","Private","107000.00","7/29/2011 12:00:00 AM","107000.00","Cash, Conventional, FHA, RRM/ARM, VA","Sold","7/29/2011 12:00:00 AM","2.00","5/2/2011 12:00:00 AM"
