"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"Webster Groves","MO","Jackson","14","63119","94","","Full","2.00","124","St Louis","Attic Fan, Ceiling Fan, Central-Electric","124","Conventional","0","Gas","GSTL","210000.00","","Private","206000.00","6/21/2012 12:00:00 AM","206000.00","Cash, Conventional","Sold","6/21/2012 3:16:43 PM","3.00","1/24/2012 12:00:00 AM"
"Webster Groves","MO","Forest","817","63119","73","0","Full, Poured Concrete, Sump Pit/Pump","2.00","56","St Louis","Ceiling Fan, Central-Electric","56","Conventional","3","Gas","GSTL","219900.00","","Private","210900.00","7/18/2011 12:00:00 AM","210900.00","Cash, Conventional, FHA","Sold","7/18/2011 12:00:00 AM","2.00","5/23/2011 12:00:00 AM"
"Webster Groves","MO","Providence","929","63119","24","0","Bathroom in LL, 8 ft + pour, Full, Poured Concrete, Walk-Out","2.00","2","St Louis","Central-Electric","2","Conventional","2","Gas","GSTL","199000.00","","Private","212500.00","8/8/2011 12:00:00 AM","212500.00","Cash, Conventional, FHA, VA","Sold","8/9/2011 12:00:00 AM","3.00","7/8/2011 12:00:00 AM"
"Webster Groves","MO","Newport","208","63119","87","","Full, Rec/Family Area, Sump Pit/Pump, Walk-Out","2.00","27","St Louis","Central-Electric","27","FHA","0","Gas","GSTL","214500.00","","Private","216500.00","6/22/2012 12:00:00 AM","216500.00","Cash, Conventional, FHA, VA","Sold","6/26/2012 9:50:04 AM","2.00","4/13/2012 12:00:00 AM"
"Webster Groves","MO","Arbor","325","63119","60","","Unfinished, Walk-Out","2.00","111","St Louis","Ceiling Fan, Central-Electric","111","VA","2","Gas","GSTL","225000.00","","Private","217500.00","5/25/2012 12:00:00 AM","217500.00","Cash, Conventional","Sold","5/25/2012 3:07:44 PM","3.00","1/12/2012 12:00:00 AM"
"Webster Groves","MO","Fairview","445","63119","86","0","Concrete Block, Full, Walk-Out","2.00","138","St Louis","Attic Fan, Ceiling Fan, Central-Electric","138","Conventional","0","Gas","GSTL","234900.00","","Private","220000.00","10/13/2011 12:00:00 AM","220000.00","Cash, Conventional, FHA, VA","Sold","10/15/2011 12:00:00 AM","3.00","4/28/2011 12:00:00 AM"
"Webster Groves","MO","Greeley","312","63119","101","0","Space/Crawl or Other, Partial, Poured Concrete","2.00","142","St Louis","1 Window/Wall, Central-Electric","13","Cash","2","Gas","GSTL","239900.00","","Private","222500.00","3/7/2012 12:00:00 AM","222500.00","Cash, Conventional","Sold","3/14/2012 10:02:05 AM","4.00","1/1/2012 12:00:00 AM"
"Webster Groves","MO","Swon","301","63119","99","0","Full, Walk-Out","2.00","134","St Louis","1 Window/Wall, None","134","FHA","1","Gas","GSTL","245000.00","","Private","225000.00","9/7/2011 12:00:00 AM","225000.00","Cash, Conventional","Sold","9/7/2011 12:00:00 AM","5.00","3/3/2011 12:00:00 AM"
"Webster Groves","MO","Glendale","640","63119","60","0","8 ft + pour, Full, Partially Finished, Walk-Out","3.00","113","St Louis","Attic Fan, Central-Electric, Heat Pump","113","Conventional","0","Gas","GSTL","249900.00","","Private","225000.00","11/14/2011 12:00:00 AM","225000.00","Cash, Conventional, FHA, VA","Sold","11/17/2011 12:00:00 AM","3.00","7/15/2011 12:00:00 AM"
"Webster Groves","MO","Greeley","416","63119","91","0","Full","3.00","140","St Louis","Ceiling Fan, Central-Electric","140","FHA","2","Electric, Gas","GSTL","229900.00","All Upstairs Rms are in Loft","Private","227000.00","8/25/2011 12:00:00 AM","227000.00","Cash, Conventional, FHA, VA","Sold","8/31/2011 12:00:00 AM","4.00","2/28/2011 12:00:00 AM"
"Webster Groves","MO","Greeley","866","63119","103","0","Partial, Poured Concrete","3.00","374","St Louis","Central-Electric","72","Other","2","Electric, Gas, Steam","GSTL","250000.00","","Private","235000.00","12/9/2011 12:00:00 AM","235000.00","Cash, Conventional","Sold","12/9/2011 12:00:00 AM","3.00","9/2/2011 12:00:00 AM"
"Webster Groves","MO","Stark","311","63119","87","0","Full, Walk-Out","2.00","180","St Louis","Central-Electric","180","Conventional","0","Gas","GSTL","249900.00","","Private","235000.00","4/11/2012 12:00:00 AM","235000.00","Cash, Conventional, FHA, VA","Sold","4/13/2012 4:26:25 PM","3.00","10/2/2011 12:00:00 AM"
"Webster Groves","MO","Newport","859","63119","90","0","Full, Partially Finished, Rec/Family Area","2.00","110","St Louis","Attic Fan, Central-Electric, Zoned","110","Conventional","2","Gas","GSTL","259900.00","","Private","239176.00","9/13/2011 12:00:00 AM","239176.00","Cash, Conventional, FHA","Sold","9/14/2011 12:00:00 AM","5.00","5/16/2011 12:00:00 AM"
"Webster Groves","MO","Newport","312","63119","89","","Full, Partially Finished, Rec/Family Area, Walk-Out","2.00","28","St Louis","Ceiling Fan, Central-Electric, Zoned","28","Conventional","1","Gas","GSTL","239900.00","","Private","239900.00","3/30/2012 12:00:00 AM","239900.00","Cash, Conventional, FHA, Government","Sold","4/4/2012 2:33:44 PM","3.00","2/10/2012 12:00:00 AM"
"Webster Groves","MO","Plant","23","63119","78","0","Partial, Poured Concrete, Sump Pit/Pump, Walk-Out","2.00","33","St Louis","Ceiling Fan, Central-Electric","33","FHA","1","Gas","GSTL","297500.00","","Private","250000.00","11/7/2011 12:00:00 AM","250000.00","Cash, Conventional","Sold","11/8/2011 12:00:00 AM","3.00","9/13/2011 12:00:00 AM"
"Webster Groves","MO","Rosemont","30","63119","45","","Full, Rec/Family Area","2.00","5","St Louis","Central-Electric","5","Conventional","0","Gas","GSTL","250000.00","","Private","250000.00","6/7/2012 12:00:00 AM","250000.00","Cash, Conventional, FHA, VA","Sold","6/7/2012 3:32:30 PM","3.00","4/18/2012 12:00:00 AM"
"Webster Groves","MO","Greeley","504","63119","42","0","Concrete Block, Full, Poured Concrete, Sump Pit/Pump, Walk-Out","2.00","19","St Louis","Central-Electric","19","Conventional","2","Gas","GSTL","254900.00","","Private","251700.00","5/7/2012 12:00:00 AM","251700.00","Cash, Conventional","Sold","5/7/2012 11:33:10 AM","4.00","3/14/2012 12:00:00 AM"
"Webster Groves","MO","Newport","457","63119","84","0","Full","2.00","21","St Louis","Central-Electric","21","Conventional","1","Gas","GSTL","265000.00","","Private","256000.00","9/16/2011 12:00:00 AM","256000.00","Cash, Conventional, FHA, Government, Seller May Pay SmCls","Sold","9/20/2011 12:00:00 AM","3.00","7/29/2011 12:00:00 AM"
"Webster Groves","MO","Cedar","21","63119","111","0","Bathroom in LL, Full, Partially Finished, Rec/Family Area, Sump Pit/Pump, Walk-Out","2.00","32","St Louis","Ceiling Fan, Central-Electric","32","Conventional","0","Gas","GSTL","249900.00","","Private","260000.00","11/10/2011 12:00:00 AM","260000.00","Cash, Conventional, FHA, VA","Sold","11/14/2011 12:00:00 AM","2.00","9/21/2011 12:00:00 AM"
"Webster Groves","MO","Elm","5","63119","93","0","Full","3.00","81","St Louis","Central-Electric","81","FHA","1","Gas","GSTL","279900.00","","Private","262000.00","4/5/2012 12:00:00 AM","262000.00","Cash, Conventional, RRM/ARM","Sold","4/5/2012 1:44:22 PM","3.00","12/16/2011 12:00:00 AM"
