"City","State","Street_Name","Street_Number","Zip_Code","Age","ASOC","BSMT","Bathrooms","CDOM","County","COOL","DOM","Financing","GRG_No","HETS","MLS","Listing_Price","MODL","Ownership","Search_Price","Selling_Date","Selling_Price","TERM","Status","Status_Date","Bedrooms","Listing_Date" 
"University City","MO","Stratford","7388","63130","87","287","Full, Sump Pit/Pump, Stone/Rock","2.00","31","St Louis","Ceiling Fan, Central-Electric, Zoned","31","Conventional","1","Electric, Gas","GSTL","288000.00","","Private","290000.00","11/10/2011 12:00:00 AM","290000.00","Cash, Conventional, RRM/ARM","Sold","11/11/2011 12:00:00 AM","3.00","9/17/2011 12:00:00 AM"
"St Louis","MO","Morehouse","919","63130","14","336","Bathroom in LL, Full, Rec/Family Area, Sleeping Area","4.00","346","St Louis","Ceiling Fan, Central-Electric","346","Other","2","Gas","GSTL","299900.00","","Private","295000.00","8/16/2011 12:00:00 AM","295000.00","Cash, Conventional, RRM/ARM","Sold","9/30/2011 12:00:00 AM","3.00","8/17/2010 12:00:00 AM"
"University City","MO","Jackson","417","63130","73","0","Full, Partially Finished, Rec/Family Area","2.00","83","St Louis","Ceiling Fan, Central-Electric","83","Conventional","2","Electric","GSTL","299000.00","","Private","296000.00","6/5/2012 12:00:00 AM","296000.00","Cash, Conventional, FHA, Other","Sold","6/18/2012 4:46:22 PM","3.00","3/21/2012 12:00:00 AM"
"University City","MO","Radcliffe","770","63130","91","0","Partially Finished","2.00","106","St Louis","Central-Electric","106","Private","1","Gas","GSTL","314900.00","","Private","301000.00","2/21/2012 12:00:00 AM","301000.00","Cash, Conventional, Other","Sold","2/21/2012 4:10:29 PM","3.00","8/22/2011 12:00:00 AM"
"University City","MO","Stanford","7836","63130","49","0","Bathroom in LL, 8 ft + pour, Full, Lookout","4.00","144","St Louis","Ceiling Fan, Central-Electric, Zoned","144","Conventional","1","Electric, Gas","GSTL","315000.00","","Private","305000.00","9/16/2011 12:00:00 AM","305000.00","Cash, Conventional, RRM/ARM","Sold","9/19/2011 12:00:00 AM","4.00","4/22/2011 12:00:00 AM"
"University City","MO","Gannon","7549","63130","76","","8 ft + pour, Partially Finished","3.00","0","St Louis","Central-Electric","0","Conventional","0","Gas","GSTL","309000.00","","Private","305000.00","3/1/2012 12:00:00 AM","305000.00","Cash, Conventional, FHA, VA","Sold","3/23/2012 11:57:24 AM","3.00","3/1/2012 12:00:00 AM"
"University City","MO","West Point Court","436","63130","85","0","8 ft + pour, Full, Rec/Family Area, Roughed-In Bath","2.00","110","St Louis","Central-Electric","110","Conventional","2","Gas","GSTL","315500.00","","Private","307875.00","7/14/2011 12:00:00 AM","307875.00","Conventional","Sold","7/15/2011 12:00:00 AM","3.00","3/2/2011 12:00:00 AM"
"University City","MO","Point","406","63130","75","50","Full, Partially Finished, Rec/Family Area","3.00","90","St Louis","Central-Electric","90","Conventional","1","Gas","GSTL","315000.00","","Private","309500.00","12/13/2011 12:00:00 AM","309500.00","Cash, Conventional","Sold","12/20/2011 12:00:00 AM","3.00","9/13/2011 12:00:00 AM"
"University City","MO","Cambridge","7155","63130","74","300","Fireplace in LL, Partially Finished, Poured Concrete, Rec/Family Area, Walk-Out","3.00","444","St Louis","Central-Electric","444","VA","2","Gas","GSTL","334900.00","","Private","310000.00","9/28/2011 12:00:00 AM","310000.00","Cash, Conventional","Sold","9/29/2011 12:00:00 AM","4.00","5/23/2010 12:00:00 AM"
"University City","MO","Stanford","7363","63130","76","225","Full, Walk-Out","2.00","376","St Louis","Central-Electric, Zoned","376","Cash","2","Gas","GSTL","325000.00","","Private","310000.00","4/24/2012 12:00:00 AM","310000.00","Cash, Conventional","Sold","4/24/2012 3:54:34 PM","4.00","3/16/2011 12:00:00 AM"
